ownergroup,empresa,sede,area,target,region,tec_solution
MASS-TX,MASSCARDY,MONITOREO,PLIN,2.5,CENTRAL,CORE
PEBUCAVP,SOLTEC,COBAN SOLTEC,PLEX,3,RURAL,BUC
PEBUCCOA,SOLTEC,COATEPEQUE,PLEX,3,RURAL,BUC
PEBUCESC,INGETELCA,ESCUINTLA,PLEX,3,CENTRAL,BUC
PEBUCFRA,INGETELCA,FRAIJANES,PLEX,3,RURAL,BUC
PEBUCHHT,SOLTEC,HUEHUETENANGO,PLEX,3,RURAL,BUC
PEBUCIZB,INGETELCA,IZABAL,PLEX,3,RURAL,BUC
PEBUCJTP,INGETELCA,JUTIAPA,PLEX,3,RURAL,BUC
PEBUCMOR,INGETELCA,MORALES,PLEX,3,RURAL,BUC
PEBUCOW,INGETELCA,CENTRAL,PLEX,3,CENTRAL,BUC
PEBUCPTN,SOLTEC,PETEN,PLEX,3,RURAL,BUC
PEBUCQCH,SOLTEC,QUICHE,PLEX,3,RURAL,BUC
PEBUCQTZ,SOLTEC,QUETZALTENANGO,PLEX,3,RURAL,BUC
PEBUCRD,INGETELCA,RIO DULCE,PLEX,3,RURAL,BUC
PEBUCSAN,INGETELCA,SANARATE,PLEX,3,RURAL,BUC
PEBUCSCH,SOLTEC,SUCHITEPEQUEZ,PLEX,3,RURAL,BUC
PEBUCSMR,SOLTEC,SAN MARCOS,PLEX,3,RURAL,BUC
PEBUCZCP,INGETELCA,ZACAPA,PLEX,3,RURAL,BUC
PEINGCTR,INGETELCA,CENTRAL,PLEX,3,CENTRAL,CORE
PEINGESC,INGETELCA,ESCUINTLA,PLEX,4,RURAL,CORE
PEINGFRA,INGETELCA,FRAIJANES,PLEX,4,RURAL,CORE
PEINGIZB,INGETELCA,PUERTO BARRIOS,PLEX,4,RURAL,CORE
PEINGJTP,INGETELCA,JUTIAPA,PLEX,4,RURAL,CORE
PEINGMOR,INGETELCA,MORALES,PLEX,4,RURAL,CORE
PEINGRD,INGETELCA,RIO DULCE,PLEX,4,RURAL,CORE
PEINGSAN,INGETELCA,SANARATE,PLEX,4,RURAL,CORE
PEINGSMP,INGETELCA,SAN MIGUEL PETAPA,PLEX,3,CENTRAL,CORE
PEINGSZ7,INGETELCA,SEDE ZONA 7,PLEX,3,CENTRAL,CORE
PEINGVN,INGETELCA,VILLA NUEVA,PLEX,3,CENTRAL,CORE
PEINGZCP,INGETELCA,TECULUTAN,PLEX,4,RURAL,CORE
PEPROCOA,PROTEL,COATEPEQUE,PLEX,4,RURAL,CORE
PEPROHH2,PROTEL,HUEHUETENANGO 2,PLEX,4,RURAL,CORE
PEPROHHT,PROTEL,HUEHUETENANGO 1,PLEX,4,RURAL,CORE
PEPROSCH,PROTEL,MAZATENANGO,PLEX,4,RURAL,CORE
PEPROSMR,PROTEL,SAN MARCOS,PLEX,4,RURAL,CORE
PEPROSOL,PROTEL,SOLOLA,PLEX,4,RURAL,CORE
PESOLAVP,SOLTEC,COBAN,PLEX,4,RURAL,CORE
PESOLCOA,SOLTEC,COATEPEQUE,PLEX,4,RURAL,CORE
PESOLHHT,SOLTEC,HUEHUETENANGO,PLEX,4,RURAL,CORE
PESOLPTN,SOLTEC,LA LIBERTAD PETEN,PLEX,4,RURAL,CORE
PESOLQCH,SOLTEC,QUICHE,PLEX,4,RURAL,CORE
PESOLQTZ,SOLTEC,QUETZALTENANGO,PLEX,4,RURAL,CORE
PESOLSCH,SOLTEC,SUCHITEPEQUEZ,PLEX,4,RURAL,CORE
PESOLSMR,SOLTEC,SAN MARCOS,PLEX,4,RURAL,CORE
PW-AVP01,MASSCARDY,ALTA VERAPAZ,PLIN,2.5,RURAL,CORE
PW-AVP02,MASSCARDY,ALTA VERAPAZ,PLIN,2.5,RURAL,CORE
PW-AVP03,MASSCARDY,ALTA VERAPAZ,PLIN,2.5,RURAL,CORE
PW-AVP04,MASSCARDY,ALTA VERAPAZ,PLIN,2.5,RURAL,CORE
PW-AVP05,MASSCARDY,ALTA VERAPAZ,PLIN,2.5,RURAL,CORE
PW-BVP01,MASSCARDY,BAJA VERAPAZ,PLIN,2.5,RURAL,CORE
PW-CHM01,MASSCARDY,CHIMALTENANGO,PLIN,2.5,RURAL,CORE
PW-CHM02,MASSCARDY,CHIMALTENANGO,PLIN,2.5,RURAL,CORE
PW-CHQ01,MASSCARDY,CHIQUIMULA,PLIN,2.5,RURAL,CORE
PW-CHQ02,MASSCARDY,CHIQUIMULA,PLIN,2.5,RURAL,CORE
PW-COR01,MASSCARDY,CORRECTIVO,PLIN,5,RURAL,CORE
PW-COR02,MASSCARDY,CORRECTIVO,PLIN,5,RURAL,CORE
PW-COR03,MASSCARDY,CORRECTIVO,PLIN,5,RURAL,CORE
PW-ESC01,MASSCARDY,ESCUINTLA,PLIN,2.5,RURAL,CORE
PW-ESC02,MASSCARDY,ESCUINTLA,PLIN,2.5,RURAL,CORE
PW-ESC03,MASSCARDY,ESCUINTLA,PLIN,2.5,RURAL,CORE
PW-GUA01,MASSCARDY,CENTRAL,PLIN,2.5,CENTRAL,CORE
PW-GUA02,MASSCARDY,CENTRAL,PLIN,2.5,CENTRAL,CORE
PW-GUA03,MASSCARDY,CENTRAL,PLIN,2.5,CENTRAL,CORE
PW-GUA04,MASSCARDY,CENTRAL,PLIN,2.5,CENTRAL,CORE
PW-GUA05,MASSCARDY,CENTRAL,PLIN,2.5,CENTRAL,CORE
PW-HHT01,MASSCARDY,HUEHUETENANGO,PLIN,2.5,RURAL,CORE
PW-HHT02,MASSCARDY,HUEHUETENANGO,PLIN,2.5,RURAL,CORE
PW-HHT03,MASSCARDY,HUEHUETENANGO,PLIN,2.5,RURAL,CORE
PW-HHT04,MASSCARDY,HUEHUETENANGO,PLIN,2.5,RURAL,CORE
PW-HHT05,MASSCARDY,HUEHUETENANGO,PLIN,2.5,RURAL,CORE
PW-HHT06,MASSCARDY,HUEHUETENANGO,PLIN,2.5,RURAL,CORE
PW-HHT07,MASSCARDY,HUEHUETENANGO,PLIN,2.5,RURAL,CORE
PW-IZB01,MASSCARDY,IZABAL,PLIN,2.5,RURAL,CORE
PW-IZB02,MASSCARDY,IZABAL,PLIN,2.5,RURAL,CORE
PW-JLP01,MASSCARDY,JALAPA,PLIN,2.5,RURAL,CORE
PW-JLP02,MASSCARDY,JALAPA,PLIN,2.5,RURAL,CORE
PW-JTP01,MASSCARDY,JUTIAPA,PLIN,2.5,RURAL,CORE
PW-JTP02,MASSCARDY,JUTIAPA,PLIN,2.5,RURAL,CORE
PW-PTN01,MASSCARDY,PETEN,PLIN,2.5,RURAL,CORE
PW-PTN02,MASSCARDY,PETEN,PLIN,2.5,RURAL,CORE
PW-PTN03,MASSCARDY,PETEN,PLIN,2.5,RURAL,CORE
PW-QCH01,MASSCARDY,QUICHE,PLIN,2.5,RURAL,CORE
PW-QCH02,MASSCARDY,QUICHE,PLIN,2.5,RURAL,CORE
PW-QCH03,MASSCARDY,QUICHE,PLIN,2.5,RURAL,CORE
PW-QCH04,MASSCARDY,QUICHE,PLIN,2.5,RURAL,CORE
PW-QTZ01,MASSCARDY,QUETZALTENANGO,PLIN,2.5,RURAL,CORE
PW-QTZ02,MASSCARDY,QUETZALTENANGO,PLIN,2.5,RURAL,CORE
PW-REU01,MASSCARDY,RETALHULEU,PLIN,2.5,RURAL,CORE
PW-SCT01,MASSCARDY,SACATEPEQUEZ,PLIN,2.5,RURAL,CORE
PW-SMR01,MASSCARDY,SAN MARCOS,PLIN,2.5,RURAL,CORE
PW-SMR02,MASSCARDY,SAN MARCOS,PLIN,2.5,RURAL,CORE
PW-SOL01,MASSCARDY,SOLOLA,PLIN,2.5,RURAL,CORE
PW-SRS01,MASSCARDY,SANTA ROSA,PLIN,2.5,RURAL,CORE
PW-SRS02,MASSCARDY,SANTA ROSA,PLIN,2.5,RURAL,CORE
PW-SSU01,MASSCARDY,SUCHITEPEQUEZ,PLIN,2.5,RURAL,CORE
PW-SSU02,MASSCARDY,GUATEMALA,PLIN,2.5,RURAL,CORE
PW-SUP02,MASSCARDY,SUPERVISOR,PLIN,2.5,RURAL,CORE
PW-TEMP,MASSCARDY,SUPERVISOR,PLIN,2.5,RURAL,CORE
PW-TTN01,MASSCARDY,TOTONICAN,PLIN,2.5,RURAL,CORE
PW-ZCP01,MASSCARDY,ZACAPA,PLIN,2.5,RURAL,CORE
RF-ATP01,MASSCARDY,CENTRAL,PLIN,2.5,CENTRAL,CORE
RF-AVP01,MASSCARDY,ALTA VERAPAZ,PLIN,2.5,RURAL,CORE
RF-AVP02,MASSCARDY,ALTA VERAPAZ,PLIN,2.5,RURAL,CORE
RF-AVP03,MASSCARDY,ALTA VERAPAZ,PLIN,2.5,RURAL,CORE
RF-AVP04,MASSCARDY,ALTA VERAPAZ,PLIN,2.5,RURAL,CORE
RF-BVP01,MASSCARDY,BAJA VERAPAZ,PLIN,2.5,RURAL,CORE
RF-CHM01,MASSCARDY,CHIMALTENANGO,PLIN,2.5,RURAL,CORE
RF-CHQ01,MASSCARDY,CHIQUIMULA,PLIN,2.5,RURAL,CORE
RF-CHQ02,MASSCARDY,CHIQUIMULA,PLIN,2.5,RURAL,CORE
RF-EPG01,MASSCARDY,EL PROGRESO,PLIN,2.5,RURAL,CORE
RF-EPG02,MASSCARDY,EL PROGRESO,PLIN,2.5,RURAL,CORE
RF-ESC01,MASSCARDY,ESCUINTLA,PLIN,2.5,RURAL,CORE
RF-ESC02,MASSCARDY,ESCUINTLA,PLIN,2.5,RURAL,CORE
RF-ESC03,MASSCARDY,ESCUINTLA,PLIN,2.5,RURAL,CORE
RF-ESC04,MASSCARDY,ESCUINTLA,PLIN,2.5,RURAL,CORE
RF-EXT01,MASSCARDY,CENTRAL,PLIN,2.5,CENTRAL,CORE
RF-EXT03,MASSCARDY,CENTRAL,PLIN,2.5,RURAL,CORE
RF-GUA01,MASSCARDY,CENTRAL,PLIN,2.5,CENTRAL,CORE
RF-GUA02,MASSCARDY,CENTRAL,PLIN,2.5,CENTRAL,CORE
RF-GUA03,MASSCARDY,GUATEMALA,PLIN,2.5,RURAL,CORE
RF-GUA04,MASSCARDY,CENTRAL,PLIN,2.5,CENTRAL,CORE
RF-GUA05,MASSCARDY,CENTRAL,PLIN,2.5,CENTRAL,CORE
RF-GUA06,MASSCARDY,CENTRAL,PLIN,2.5,CENTRAL,CORE
RF-GUA07,MASSCARDY,CENTRAL,PLIN,2.5,CENTRAL,CORE
RF-GUA08,MASSCARDY,CENTRAL,PLIN,2.5,CENTRAL,CORE
RF-GUA09,MASSCARDY,CENTRAL,PLIN,2.5,CENTRAL,CORE
RF-GUA10,MASSCARDY,CENTRAL,PLIN,2.5,CENTRAL,CORE
RF-GUA11,MASSCARDY,CENTRAL,PLIN,2.5,RURAL,CORE
RF-HHT01,MASSCARDY,HUEHUETENANGO,PLIN,2.5,RURAL,CORE
RF-HHT02,MASSCARDY,HUEHUETENANGO,PLIN,2.5,RURAL,CORE
RF-HHT03,MASSCARDY,HUEHUETENANGO,PLIN,2.5,RURAL,CORE
RF-HHT04,MASSCARDY,HUEHUETENANGO,PLIN,2.5,RURAL,CORE
RF-IZB01,MASSCARDY,IZABAL,PLIN,2.5,RURAL,CORE
RF-IZB02,MASSCARDY,IZABAL,PLIN,2.5,RURAL,CORE
RF-IZB03,MASSCARDY,IZABAL,PLIN,2.5,RURAL,CORE
RF-JLP01,MASSCARDY,JALAPA,PLIN,2.5,RURAL,CORE
RF-JTP01,MASSCARDY,JUTIAPA,PLIN,2.5,RURAL,CORE
RF-JTP02,MASSCARDY,JUTIAPA,PLIN,2.5,RURAL,CORE
RF-JTP03,MASSCARDY,JUTIAPA,PLIN,2.5,RURAL,CORE
RF-MET01,MASSCARDY,CENTRAL,PLIN,2.5,CENTRAL,CORE
RF-MET02,MASSCARDY,CENTRAL,PLIN,2.5,CENTRAL,CORE
RF-MET03,MASSCARDY,CENTRAL,PLIN,2.5,CENTRAL,CORE
RF-MET04,MASSCARDY,CENTRAL,PLIN,2.5,CENTRAL,CORE
RF-MET05,MASSCARDY,CENTRAL,PLIN,2.5,CENTRAL,CORE
RF-MSQ01,MASSCARDY,CENTRAL,PLIN,2.5,CENTRAL,CORE
RF-PTN01,MASSCARDY,PETEN,PLIN,2.5,RURAL,CORE
RF-PTN02,MASSCARDY,PETEN,PLIN,2.5,RURAL,CORE
RF-PTN03,MASSCARDY,PETEN,PLIN,2.5,RURAL,CORE
RF-PTN04,MASSCARDY,PETEN,PLIN,2.5,RURAL,CORE
RF-PTN05,MASSCARDY,PETEN,PLIN,2.5,RURAL,CORE
RF-QCH01,MASSCARDY,QUICHE,PLIN,2.5,RURAL,CORE
RF-QCH02,MASSCARDY,QUICHE,PLIN,2.5,RURAL,CORE
RF-QCH03,MASSCARDY,QUICHE,PLIN,2.5,RURAL,CORE
RF-QTZ01,MASSCARDY,QUETZALTENANGO,PLIN,2.5,RURAL,CORE
RF-QTZ02,MASSCARDY,QUETZALTENANGO,PLIN,2.5,RURAL,CORE
RF-QTZ03,MASSCARDY,QUETZALTENANGO,PLIN,2.5,RURAL,CORE
RF-REU01,MASSCARDY,RETALHULEU,PLIN,2.5,RURAL,CORE
RF-REU02,MASSCARDY,RETALHULEU,PLIN,2.5,RURAL,CORE
RF-SCH01,MASSCARDY,SUCHITEPEQUEZ,PLIN,2.5,RURAL,CORE
RF-SCT01,MASSCARDY,SACATEPEQUEZ,PLIN,2.5,RURAL,CORE
RF-SMR01,MASSCARDY,SAN MARCOS,PLIN,2.5,RURAL,CORE
RF-SMR02,MASSCARDY,SAN MARCOS,PLIN,2.5,RURAL,CORE
RF-SMR03,MASSCARDY,SAN MARCOS,PLIN,2.5,RURAL,CORE
RF-SOL01,MASSCARDY,SOLOLA,PLIN,2.5,RURAL,CORE
RF-SRS01,MASSCARDY,SANTA ROSA,PLIN,2.5,RURAL,CORE
RF-SRS02,MASSCARDY,SANTA ROSA,PLIN,2.5,RURAL,CORE
RF-SUP01,MASSCARDY,SUPERVISOR,PLIN,2.5,RURAL,CORE
RF-SUP02,MASSCARDY,SUPERVISOR,PLIN,2.5,RURAL,CORE
RF-SUP03,MASSCARDY,SUPERVISOR,PLIN,2.5,RURAL,CORE
RF-SUP04,MASSCARDY,SUPERVISOR,PLIN,2.5,RURAL,CORE
RF-SUP05,MASSCARDY,SUPERVISOR,PLIN,2.5,RURAL,CORE
RF-SUP06,MASSCARDY,SUPERVISOR,PLIN,3.5,RURAL,CORE
RF-TEMP,MASSCARDY,SUPERVISOR,PLIN,2.5,RURAL,CORE
RF-TTN01,MASSCARDY,TOTONICAN,PLIN,2.5,RURAL,CORE
RF-TTN02,MASSCARDY,TOTONICAN,PLIN,2.5,RURAL,CORE
RF-ZCP01,MASSCARDY,ZACAPA,PLIN,2.5,RURAL,CORE
RF-ZCP02,MASSCARDY,ZACAPA,PLIN,2.5,RURAL,CORE
TIWS,TELEFONICA,TELEFONICA,PLEX,4,RURAL,CORE
UFINET,UFINET,UFINET,PLEX,4,RURAL,CORE
PESOLT01,Soltec,La Libertad,PLEX,4,RURAL,CORE
PESOLT02,Soltec,Coban,PLEX,4,RURAL,CORE
PESOLT03,Soltec,Sacapulas,PLEX,4,RURAL,CORE
PESOLT04,Soltec,Huehuetenango,PLEX,4,RURAL,CORE
PESOLT05,Soltec,San Marcos,PLEX,4,RURAL,CORE
RF-EXT02,MASSCARDY,CENTRAL,PLIN,2.5,CENTRAL,CORE
PW-SCH01,MASSCARDY,SACATEPEQUEZ,PLEX,2.5,RURAL,CORE
